"Time","sum(ALERTS)"
2023-08-09 16:58:15,1
2023-08-09 16:58:30,1
2023-08-09 16:58:45,1
2023-08-09 16:59:00,1
2023-08-09 16:59:15,1
2023-08-09 16:59:30,1
2023-08-09 16:59:45,1
2023-08-09 17:00:00,1
2023-08-09 17:00:15,2
2023-08-09 17:00:30,2
2023-08-09 17:00:45,2
2023-08-09 17:01:00,2
2023-08-09 17:01:15,2
2023-08-09 17:01:30,2
2023-08-09 17:01:45,1
2023-08-09 17:02:00,1
2023-08-09 17:02:15,1
2023-08-09 17:02:30,1
2023-08-09 17:02:45,1
2023-08-09 17:03:00,1
2023-08-09 17:03:15,1
